LfNr;Datum;Zeit;WoTag;Straﬂenklasse;Straﬂennummer;Gemeinde;Strasse;Tˆdlich verletzt;Schwer verletzt;Leicht verletzt;Anzahl Beteiligte;VU-Art;Charakteristik1 VU-Stelle;Charakteristik2 VU-Stelle;Besonderheit1 VU-Stelle;Besonderheit2 VU-Stelle;Besonderheit3 VU-Stelle;LZA;VU-Kategorie;VU-Typ;Unter-Typ;VU-Ursache Verursacher;2.VU-Ursache Verursacher;VU-Ursache 2. Beteiligter;2.VU-Ursache 2. Beteiligter;Allgmeine Ursache Verursacher;Verkehrsbeteiligung Verursacher;Verkehrsbeteiligung 2. Beteiligter;Jahr;Monat;Tag;Lichtverh‰ltnisse;Straﬂenzustand;Verursacher;Bet_02;Unfall-Typ;Fahrtrichtung;Koord.x;Koord.y
234; 14.07.2021; 13:05; Mi;5;; Oldenburg (Oldb); Scheideweg;0;0;0;2;5;3;;;;;;5;2;299;35;;;;;40;71;2021;7;14; he; na; LKW; RF; AB;;8,221134;53,160011
235; 15.07.2021; 15:15; Do;5;; Oldenburg (Oldb); Zanderweg;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;7;15; he; na; RF; PKW; RV;;8,199206;53,189058
236; 15.07.2021; 18:30; Do;5;; Oldenburg (Oldb); Hindenburgstraﬂe;0;0;1;2;4;;;;;;;3;6;681;11;;;;;71;72;2021;7;15; he; na; RF; RF; LV; absteigend;8,206308;53,137718
237; 15.07.2021; 19:55; Do;5;; Oldenburg (Oldb); Paradewall;0;0;0;2;5;1;;;;;8;5;3;321;31;;;;;71;21;2021;7;15; he; na; RF; PKW; EK;;8,216808;53,136865
238; 16.07.2021; 15:30; Fr;5;; Oldenburg (Oldb); Weiﬂenmoorstraﬂe;0;0;1;2;5;3;;9;;;;3;2;243;34;;;;;21;71;2021;7;16; he; tr; PKW; RF; AB; absteigend;8,205677;53,183286
239; 18.07.2021; 13:02; So;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;0;;;0;9;;;3;7;799;1;49;;;;71;21;2021;7;18; he; tr; RF; PKW; SO;;8,211668;53,15225
240; 18.07.2021; 17:40; So;5;; Oldenburg (Oldb); Theaterwall;0;0;1;2;3;3;;;;;;3;6;651;49;;;;;71;71;2021;7;18; he; tr; RF; RF; LV; aufsteigend;8,209936;53,139738
241; 19.07.2021; 11:00; Mo;5;; Oldenburg (Oldb); W¸rzburger Straﬂe;0;0;1;2;5;2;;;;;;3;3;322;27;;;;;71;71;2021;7;19; he; tr; RF; RF; EK;;8,209714;53,146756
242; 20.07.2021; 13:15; Di;5;; Oldenburg (Oldb); Bernhardstraﬂe;0;0;1;2;2;3;;;;;;3;2;231;49;;;;;71;40;2021;7;20; he; tr; RF; LKW; AB; aufsteigend;8,193298;53,134502
243; 21.07.2021; 21:06; Mi;5;; Oldenburg (Oldb); Stau;0;0;1;2;1;;;;;;;3;5;501;1;49;;;;71;21;2021;7;21; he; tr; RF; PKW; RV;;8,219694;53,140674
244; 22.07.2021; 10:10; Do;5;; Oldenburg (Oldb); Bremer Straﬂe;0;0;1;2;5;3;;;;;;3;3;341;37;;;;;21;71;2021;7;22; he; tr; PKW; RF; EK; aufsteigend;8,224399;53,130815
245; 22.07.2021; 14:10; Do;5;; Oldenburg (Oldb); B¸rgerbuschweg;0;0;1;2;0;2;;;;;;3;2;299;67;;40;;;81;71;2021;7;22; he; tr; FG; RF; AB;;8,200104;53,174282
246; 22.07.2021; 22:25; Do;5;; Oldenburg (Oldb); Elisabethstraﬂe;0;0;0;2;1;;;;;;;6;5;501;1;49;;;;71;21;2021;7;22; du; tr; RF; PKW; RV; aufsteigend;8,212311;53,133473
247; 23.07.2021; 07:15; Fr;5;; Oldenburg (Oldb); Ackerstraﬂe;0;0;1;2;5;2;;;;;;3;3;341;28;;;;;21;71;2021;7;23; he; tr; PKW; RF; EK;;8,220512;53,156396
248; 23.07.2021; 17:15; Fr;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;2;2;5;1;;;;;8;3;3;321;49;;;;;71;71;2021;7;23; he; tr; RF; RF; EK; aufsteigend;8,194459;53,172181
249; 23.07.2021; 17:30; Fr;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;2;;;;;9;3;3;309;1;31;;;;71;21;2021;7;23; he; tr; RF; PKW; EK; absteigend;8,214658;53,147913
250; 24.07.2021; 14:25; Sa;5;; Oldenburg (Oldb); Peterstraﬂe;0;0;1;2;5;1;;;;;8;3;7;719;36;;;;;21;71;2021;7;24; he; tr; PKW; RF; SO; absteigend;8,208811;53,143333
251; 24.07.2021; 21:19; Sa;5;; Oldenburg (Oldb); Lindenstraﬂe;0;0;2;2;4;2;;;;;;3;6;681;49;;49;;;71;71;2021;7;24; d‰; na; RF; RF; LV; absteigend;8,218188;53,148727
252; 25.07.2021; 12:27; So;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;3;;;;;;3;3;342;37;;10;;;21;71;2021;7;25; he; tr; PKW; RF; EK;;8,225547;53,164544
253; 26.07.2021; 09:40; Mo;3;868; Oldenburg (Oldb); Bremer Heerstraﬂe;0;0;1;2;5;3;;0;9;;;3;2;224;35;;;;;21;72;2021;7;26; he; tr; PKW; RF; AB; absteigend;8,266866;53,11264
254; 26.07.2021; 11:50; Mo;5;; Oldenburg (Oldb); Am Stadtrand;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;21;71;2021;7;26; he; tr; PKW; RF; AB;;8,197938;53,187756
255; 26.07.2021; 15:25; Mo;5;; Oldenburg (Oldb); Schloﬂwall;0;0;1;2;5;1;;;;;8;3;2;222;35;;;;;21;71;2021;7;26; he; tr; PKW; RF; AB; absteigend;8,21338;53,137632
256; 27.07.2021; 17:30; Di;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;1;0;2;5;3;;9;;;;2;2;224;35;;;;;21;72;2021;7;27; he; tr; PKW; RF; AB; aufsteigend;8,225859;53,164942
257; 27.07.2021; 17:40; Di;5;; Oldenburg (Oldb); Am Schloﬂgarten;0;0;1;2;3;;;9;;;;3;6;651;49;;;;;71;71;2021;7;27; he; tr; RF; RF; LV; aufsteigend;8,208224;53,132232
258; 27.07.2021; 18:30; Di;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;3;;0;9;;;3;2;243;34;;;;;21;71;2021;7;27; he; na; PKW; RF; AB;;8,217552;53,151627
259; 28.07.2021; 13:00; Mi;5;; Oldenburg (Oldb); Friedlandstraﬂe;0;0;1;2;5;;;;;;;3;7;711;49;;;;;40;71;2021;7;28; he; tr; LKW; RF; SO; aufsteigend;8,192642;53,16958
260; 30.07.2021; 15:30; Fr;5;; Oldenburg (Oldb); B¸rgerbuschweg;0;0;2;2;0;2;;0;9;;;3;1;122;34;;;;;71;71;2021;7;30; he; tr; RF; RF; F;;8,194506;53,172212
261; 31.07.2021; 16:50; Sa;5;; Oldenburg (Oldb); Banater Weg;0;0;0;2;0;;;;;;;5;7;799;49;;;;;71;21;2021;7;31; he; na; RF; PKW; SO;;8,197705;53,172353
262; 03.08.2021; 02:20; Di;5;; Oldenburg (Oldb); Trakehnenstraﬂe;0;0;1;2;1;;;;;;;3;5;501;1;;;;;71;21;2021;8;3; du; tr; RF; PKW; RV;;8,192408;53,160565
263; 03.08.2021; 07:50; Di;5;; Oldenburg (Oldb); Uhlhornsweg;0;1;0;2;5;1;;;;;;2;2;244;34;;;;;21;71;2021;8;3; he; tr; PKW; RF; AB;;8,18272;53,148239
264; 03.08.2021; 11:58; Di;5;; Oldenburg (Oldb); Haselriege;0;0;1;2;5;2;;;;;;3;3;342;28;;10;;;21;71;2021;8;3; he; tr; PKW; RF; EK;;8,232235;53,179925
265; 03.08.2021; 14:57; Di;5;; Oldenburg (Oldb); Langenweg;0;0;1;2;5;2;;8;;;;3;3;342;28;;;;;21;71;2021;8;3; he; tr; PKW; RF; EK; aufsteigend;8,224866;53,184781
266; 04.08.2021; 07:20; Mi;5;; Oldenburg (Oldb); Rummelweg;0;0;0;2;2;;;;;;;5;2;232;34;;;;;71;21;2021;8;4; he; tr; RF; PKW; AB;;8,197637;53,141597
267; 05.08.2021; 14:31; Do;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;2;;;;;;3;3;342;28;;10;;;21;71;2021;8;5; he; tr; PKW; RF; EK; absteigend;8,208812;53,160035
268; 05.08.2021; 16:55; Do;3;138; Oldenburg (Oldb); Prinzessinweg;0;0;1;2;4;2;;;;;9;3;2;211;35;;;;;21;71;2021;8;5; he; tr; PKW; RF; AB; aufsteigend;8,191698;53,141954
269; 06.08.2021; 08:00; Fr;5;; Oldenburg (Oldb); Klingenbergstraﬂe;0;0;3;3;5;;;;;;;3;2;211;35;;;;;21;21;2021;8;6; he; tr; PKW; PKW; AB;;8,225386;53,108839
270; 08.08.2021; 16:50; So;5;; Oldenburg (Oldb); Scheideweg;0;0;0;2;1;;;;;;;5;7;799;69;;;;;81;71;2021;8;8; he; tr; FG; RF; SO;;8,217676;53,163636
271; 09.08.2021; 14:55; Mo;3;866; Oldenburg (Oldb); Stedinger Straﬂe;0;0;1;2;5;3;;9;;;;3;2;243;34;;;;;21;71;2021;8;9; he; tr; PKW; RF; AB; aufsteigend;8,223235;53,132299
272; 10.08.2021; 06:43; Di;5;; Oldenburg (Oldb); B¸mmersteder Tredde;0;0;1;2;5;;;;;;;3;3;302;37;;;;;21;72;2021;8;10; he; tr; PKW; RF; EK;;8,217238;53,093207
273; 10.08.2021; 15:33; Di;5;; Oldenburg (Oldb); Rauhehorst;0;1;0;2;5;;;;;;;2;7;711;36;;;;;40;71;2021;8;10; he; na; LKW; RF; SO;;8,190987;53,162996
274; 10.08.2021; 15:50; Di;5;; Oldenburg (Oldb); Amalienstraﬂe;0;0;1;2;5;;;;;;;3;3;344;31;;;;;33;71;2021;8;10; he; na; BUS; RF; EK; aufsteigend;8,218958;53,139017
275; 11.08.2021; 09:15; Mi;5;; Oldenburg (Oldb); Marschweg;0;0;1;3;4;;;;;;;3;6;681;49;;;;;71;71;2021;8;11; he; tr; RF; RF; LV;;8,204537;53,127719
276; 11.08.2021; 09:45; Mi;5;; Oldenburg (Oldb); Porsenbergstraﬂe;0;0;0;2;5;1;;;;;;5;3;344;27;;;;;21;71;2021;8;11; he; tr; PKW; RF; EK;;8,21969;53,161446
277; 11.08.2021; 18:00; Mi;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;0;2;5;2;;0;9;;;5;3;342;28;;;;;21;71;2021;8;11; he; tr; PKW; RF; EK;;8,247944;53,159601
278; 12.08.2021; 09:00; Do;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;0;3;2;1;;;;;8;5;2;231;49;;;;89;21;21;2021;8;12; he; tr; PKW; PKW; AB; absteigend;8,209413;53,15635
279; 12.08.2021; 15:00; Do;5;; Oldenburg (Oldb); Hˆrneweg;0;0;1;2;5;1;;;;;;3;3;321;27;;;;;71;21;2021;8;12; he; tr; RF; PKW; EK; absteigend;8,155681;53,147055
280; 12.08.2021; 17:00; Do;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;0;1;2;3;;;;;;;3;6;651;49;;;;;71;71;2021;8;12; he; tr; RF; RF; LV; absteigend;8,206064;53,14381
281; 12.08.2021; 18:15; Do;3;866; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;1;2;5;1;;0;9;;8;3;2;224;31;;;;;71;21;2021;8;12; he; tr; RF; PKW; AB; aufsteigend;8,222441;53,131651
282; 13.08.2021; 08:50; Fr;3;865; Oldenburg (Oldb); Am Stadtmuseum;0;0;1;2;5;1;;9;;;8;3;2;243;34;;;;;40;71;2021;8;13; he; tr; LKW; RF; AB; absteigend;8,21422;53,143472
283; 13.08.2021; 17:05; Fr;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;1;;0;9;;8;3;3;301;31;;31;;;21;71;2021;8;13; he; tr; PKW; RF; EK; absteigend;8,205153;53,162271
284; 19.08.2021; 11:55; Do;5;; Oldenburg (Oldb); Damm;0;0;1;2;6;;;;;;;3;4;401;64;;;;;81;71;2021;8;19; he; na; FG; RF; ‹S;;8,219099;53,134006
285; 21.08.2021; 00:15; Sa;5;; Oldenburg (Oldb); Lambertistraﬂe;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;8;21; du; tr; RF; PKW; RV;;8,215642;53,155394
286; 21.08.2021; 01:22; Sa;5;; Oldenburg (Oldb); Ewigkeit;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;8;21; du; tr; RF; PKW; RV; aufsteigend;8,214422;53,115232
287; 21.08.2021; 17:59; Sa;5;; Oldenburg (Oldb); Sodenstich;0;0;1;1;8;;;;;;;3;7;799;49;;;;;71;;2021;8;21; he; tr; RF; -; SO; aufsteigend;8,199114;53,125868
288; 22.08.2021; 09:38; So;5;; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;0;2;1;;;;;;;5;5;502;49;;;;;71;21;2021;8;22; he; na; RF; PKW; RV; absteigend;8,214932;53,117761
289; 23.08.2021; 08:54; Mo;5;; Oldenburg (Oldb); Am Alexanderhaus;0;0;1;2;5;3;;;;;;3;3;342;37;;10;;;21;71;2021;8;23; he; tr; PKW; RF; EK; absteigend;8,200578;53,185839
290; 23.08.2021; 14:05; Mo;4;348; Oldenburg (Oldb); Ammerl‰nder Heerstraﬂe;0;0;1;2;5;1;;;;;;3;2;243;34;;;;;21;71;2021;8;23; he; tr; PKW; RF; AB; absteigend;8,186856;53,146528
291; 23.08.2021; 15:40; Mo;5;; Oldenburg (Oldb); B¸rgerbuschweg;0;0;0;2;5;1;;;;;;5;3;342;28;;;;;21;71;2021;8;23; he; tr; PKW; RF; EK;;8,197146;53,173092
292; 23.08.2021; 17:31; Mo;5;; Oldenburg (Oldb); Marschweg;0;0;1;2;5;3;;9;;;;3;3;342;37;;;;;21;71;2021;8;23; he; tr; PKW; RF; EK; aufsteigend;8,204517;53,133565
293; 23.08.2021; 17:48; Mo;5;; Oldenburg (Oldb); Schloﬂplatz;0;0;0;2;0;;;;;;;5;7;709;49;;;;;21;71;2021;8;23; he; tr; PKW; RF; SO;;8,215664;53,137416
294; 24.08.2021; 08:45; Di;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;0;2;1;;;;;;;5;7;799;49;;;;;71;21;2021;8;24; he; tr; RF; PKW; SO;;8,211426;53,152267
295; 24.08.2021; 11:15; Di;5;; Oldenburg (Oldb); Sandkruger Straﬂe;0;0;1;2;5;;;0;9;;8;3;2;211;35;;;;;21;71;2021;8;24; he; tr; PKW; RF; AB; aufsteigend;8,206695;53,101956
296; 25.08.2021; 05:35; Mi;4;138; Oldenburg (Oldb); Bloherfelder Straﬂe;0;0;2;2;6;;;;;;;3;7;799;65;;;;;81;71;2021;8;25; du; na; FG; RF; SO; absteigend;8,190872;53,141695
297; 25.08.2021; 14:25; Mi;4;348; Oldenburg (Oldb); Ammerl‰nder Heerstraﬂe;0;0;1;2;5;3;;9;;;;3;3;342;37;;;;;21;71;2021;8;25; he; tr; PKW; RF; EK; aufsteigend;8,168272;53,159148
298; 25.08.2021; 14:30; Mi;5;; Oldenburg (Oldb); Elisabethstraﬂe;0;0;0;2;1;;;;;;;5;7;799;49;;;;;71;21;2021;8;25; he; tr; RF; PKW; SO;;8,216687;53,136262
299; 25.08.2021; 14:35; Mi;5;; Oldenburg (Oldb); Emsstraﬂe;0;0;1;2;5;2;;8;;;;3;3;341;28;;;;;21;71;2021;8;25; he; tr; PKW; RF; EK; absteigend;8,22699;53,136856
300; 25.08.2021; 22:10; Mi;5;; Oldenburg (Oldb); Sch¸tzenweg;0;0;1;2;5;2;;;;;;3;3;303;28;;;;;21;71;2021;8;25; du; na; PKW; RF; EK;;8,187688;53,147228
301; 26.08.2021; 07:40; Do;4;138; Oldenburg (Oldb); Bloherfelder Straﬂe;0;0;1;2;5;;;;;;;3;7;703;49;;;;;21;71;2021;8;26; he; tr; PKW; RF; SO;;8,18634;53,141662
302; 26.08.2021; 08:50; Do;3;828; Oldenburg (Oldb); Edewechter Landstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;342;28;;;;;21;72;2021;8;26; he; tr; PKW; RF; EK; absteigend;8,134908;53,127
303; 26.08.2021; 14:30; Do;3;828; Oldenburg (Oldb); Edewechter Landstraﬂe;0;0;0;2;1;;;0;9;;;5;7;799;49;;;;;71;21;2021;8;26; he; tr; RF; PKW; SO;;8,184585;53,132697
304; 26.08.2021; 16:40; Do;5;; Oldenburg (Oldb); M¸hlenhofsweg;0;0;1;2;5;1;;;;;;3;3;321;28;;;;;21;72;2021;8;26; he; tr; PKW; RF; EK;;8,237977;53,165452
305; 26.08.2021; 18:28; Do;5;; Oldenburg (Oldb); Langenweg;0;0;1;2;5;2;;0;9;;;3;2;211;35;;;;82;21;71;2021;8;26; he; tr; PKW; RF; AB;;8,224647;53,184771
306; 26.08.2021; 20:00; Do;5;; Oldenburg (Oldb); Huntestraﬂe;0;0;0;2;5;;;;;;;5;3;306;10;;;;;71;71;2021;8;26; he; tr; RF; RF; EK; aufsteigend;8,217284;53,136467
307; 27.08.2021; 16:23; Fr;5;; Oldenburg (Oldb); Artillerieweg;0;0;1;2;0;;;;;;;3;3;372;37;;;;;71;4;2021;8;27; he; tr; RF; KRD; EK; absteigend;8,18467;53,149828
308; 28.08.2021; 18:45; Sa;5;; Oldenburg (Oldb); B¸mmersteder Tredde;0;0;1;2;5;1;;9;;;;3;3;341;28;;;;;21;71;2021;8;28; du; tr; PKW; RF; EK; aufsteigend;8,235805;53,096232
309; 30.08.2021; 08:05; Mo;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;1;0;2;5;2;;9;;;;2;3;342;28;;10;;;21;71;2021;8;30; he; tr; PKW; RF; EK; absteigend;8,247625;53,15909
310; 30.08.2021; 13:45; Mo;5;; Oldenburg (Oldb); Langenweg;0;0;0;2;5;;;;;;;5;3;399;10;;;;;71;21;2021;8;30; he; tr; RF; PKW; EK; aufsteigend;8,216432;53,184948
311; 31.08.2021; 16:40; Di;5;; Oldenburg (Oldb); Sandweg;0;0;1;2;2;;;;;;;3;6;601;49;;;;;72;21;2021;8;31; he; tr; RF; PKW; LV;;8,251721;53,129155
312; 01.09.2021; 13:45; Mi;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;6;;;;;;;3;4;421;64;;;;;81;71;2021;9;1; he; tr; FG; RF; ‹S; absteigend;8,213531;53,149936
313; 01.09.2021; 14:55; Mi;3;866; Oldenburg (Oldb); Holler Landstraﬂe;0;0;1;2;1;;;3;;;;3;7;703;49;;49;;;71;21;2021;9;1; he; tr; RF; PKW; SO; aufsteigend;8,256403;53,139137
314; 01.09.2021; 18:15; Mi;5;; Oldenburg (Oldb); Els‰sser Straﬂe;0;0;0;2;5;1;;0;9;;8;5;2;243;34;;;;;21;71;2021;9;1; he; tr; PKW; RF; AB;;8,200579;53,151418
315; 02.09.2021; 07:35; Do;5;; Oldenburg (Oldb); Staulinie;0;0;1;2;5;3;;;;;;3;2;244;34;;10;;;21;71;2021;9;2; he; tr; PKW; RF; AB; aufsteigend;8,215123;53,141809
316; 02.09.2021; 07:40; Do;5;; Oldenburg (Oldb); Auguststraﬂe;0;0;1;2;2;;;;;;;3;6;611;49;;;;;71;21;2021;9;2; he; tr; RF; PKW; LV; absteigend;8,20392;53,146048
317; 02.09.2021; 17:30; Do;5;; Oldenburg (Oldb); Karlstraﬂe;0;0;1;2;5;3;;0;9;;;3;3;323;37;;10;;;21;71;2021;9;2; he; tr; PKW; RF; EK;;8,22272;53,145796
318; 03.09.2021; 11:06; Fr;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;3;;0;9;;;3;2;243;34;;;;;21;71;2021;9;3; he; tr; PKW; RF; AB; absteigend;8,218268;53,153032
319; 03.09.2021; 13:05; Fr;5;; Oldenburg (Oldb); Scheideweg;0;0;0;2;5;;;;;;;5;2;243;34;;;;;21;71;2021;9;3; he; tr; PKW; RF; AB;;8,211821;53,169915
320; 03.09.2021; 17:45; Fr;5;; Oldenburg (Oldb); Heiligengeiststraﬂe;0;0;1;2;5;1;;9;;;8;3;3;344;31;;;;;21;71;2021;9;3; he; tr; PKW; RF; EK; aufsteigend;8,214617;53,146611
321; 04.09.2021; 20:00; Sa;5;; Oldenburg (Oldb); Mansholter Straﬂe;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;9;4; he; tr; RF; PKW; RV;;8,182822;53,185656
322; 05.09.2021; 14:47; So;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;0;2;2;;;;;;;5;6;621;49;;;;;71;21;2021;9;5; he; tr; RF; PKW; LV;;8,222343;53,131553
323; 05.09.2021; 16:21; So;5;; Oldenburg (Oldb); Stau;0;0;1;2;5;2;;9;;;;3;2;223;35;;10;;;21;71;2021;9;5; he; tr; PKW; RF; AB;;8,225699;53,141314
324; 06.09.2021; 10:00; Mo;5;; Oldenburg (Oldb); Theaterwall;0;0;1;2;5;2;;0;9;;8;3;2;243;34;;;;;41;71;2021;9;6; he; tr; LKW; RF; AB; absteigend;8,208542;53,141132
325; 06.09.2021; 11:52; Mo;5;; Oldenburg (Oldb); Kirchhofstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;72;2021;9;6; he; tr; PKW; RF; EK;;8,212883;53,150969
326; 07.09.2021; 07:10; Di;5;; Oldenburg (Oldb); Straﬂburger Straﬂe;0;0;1;2;5;2;;9;;;;3;2;244;34;;10;;;21;71;2021;9;7; he; tr; PKW; RF; AB; absteigend;8,225711;53,146006
327; 07.09.2021; 12:43; Di;3;865; Oldenburg (Oldb); Ofener Straﬂe;0;0;0;2;5;1;;;;;8;5;2;243;34;;;;;21;71;2021;9;7; he; tr; PKW; RF; AB;;8,193054;53,143526
328; 08.09.2021; 10:40; Mi;5;; Oldenburg (Oldb); Heiligengeiststraﬂe;0;0;1;2;5;;;;;;8;3;2;211;35;;;;;71;72;2021;9;8; he; tr; RF; RF; AB; absteigend;8,213036;53,144309
329; 08.09.2021; 16:06; Mi;5;; Oldenburg (Oldb); Achtersteven;0;0;1;2;5;2;;7;;;;3;3;321;27;;;;;71;21;2021;9;8; he; tr; RF; PKW; EK;;8,227511;53,140682
330; 09.09.2021; 07:40; Do;5;; Oldenburg (Oldb); Bl¸cherstraﬂe;0;0;0;2;5;3;;;;;;5;3;302;37;;;;;21;71;2021;9;9; d‰; tr; PKW; RF; EK; aufsteigend;8,186006;53,139326
331; 09.09.2021; 07:50; Do;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;1;2;5;2;;9;;;8;3;2;243;35;;;;;21;72;2021;9;9; d‰; tr; PKW; RF; AB; aufsteigend;8,205846;53,104425
332; 09.09.2021; 08:30; Do;5;; Oldenburg (Oldb); Wienstraﬂe;0;0;1;2;1;;;;;;;3;5;581;45;;;;;21;71;2021;9;9; he; tr; PKW; RF; RV;;8,193084;53,135951
333; 09.09.2021; 14:20; Do;5;; Oldenburg (Oldb); Lindenallee;0;0;1;2;5;1;;;;;;3;3;301;28;;;;;21;71;2021;9;9; he; tr; PKW; RF; EK;;8,205787;53,141154
334; 09.09.2021; 17:30; Do;5;; Oldenburg (Oldb); Uhlhornsweg;0;1;0;2;5;;;3;;;;2;3;372;10;;49;;;71;21;2021;9;9; he; tr; RF; PKW; EK; aufsteigend;8,180222;53,147052
335; 10.09.2021; 07:50; Fr;5;; Oldenburg (Oldb); Theodor-Heuss-Straﬂe;0;0;1;2;5;3;;;;;;3;3;302;37;;;;73;21;71;2021;9;10; d‰; na; PKW; RF; EK; absteigend;8,171655;53,141036
336; 10.09.2021; 10:35; Fr;5;; Oldenburg (Oldb); B¸rgerfelder Straﬂe;0;0;1;2;0;1;;0;9;;;3;1;199;49;;10;;;21;71;2021;9;10; he; na; PKW; RF; F;;8,203664;53,163597
337; 10.09.2021; 17:15; Fr;5;; Oldenburg (Oldb); Stau;0;0;1;2;5;2;;0;9;;8;3;2;244;34;;;;;21;71;2021;9;10; he; na; PKW; RF; AB;;8,223927;53,141598
338; 11.09.2021; 17:29; Sa;5;; Oldenburg (Oldb); B¸rgerstraﬂe;0;1;0;2;1;;;;;;;2;5;501;49;;;;;71;21;2021;9;11; he; tr; RF; PKW; RV;;8,228488;53,153773
339; 14.09.2021; 16:20; Di;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;0;2;5;3;;;;;;5;2;202;35;;49;;;21;71;2021;9;14; he; tr; PKW; RF; AB; aufsteigend;8,218595;53,123194
340; 14.09.2021; 16:40; Di;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;2;;9;;;;3;3;341;28;;;;;21;71;2021;9;14; he; tr; PKW; RF; EK; aufsteigend;8,225535;53,163911
341; 15.09.2021; 07:40; Mi;5;; Oldenburg (Oldb); Groﬂer Kuhlenweg;0;0;1;2;5;1;;;;;9;3;3;301;28;;;;;42;71;2021;9;15; he; na; LKW; RF; EK; aufsteigend;8,240943;53,160956
342; 15.09.2021; 14:21; Mi;5;; Oldenburg (Oldb); Bremer Straﬂe;0;0;1;2;4;;;9;;;;3;6;681;11;;;;;5;71;2021;9;15; he; na; KRD; RF; LV; aufsteigend;8,225776;53,12978
343; 15.09.2021; 14:45; Mi;5;; Oldenburg (Oldb); Am Ende;0;0;1;2;5;2;;;;;;3;3;342;28;;;;;21;72;2021;9;15; he; na; PKW; RF; EK; absteigend;8,227093;53,199055
344; 16.09.2021; 14:30; Do;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;0;2;5;3;;;;;;5;3;341;37;;;;;21;71;2021;9;16; he; tr; PKW; RF; EK;;8,217273;53,121635
345; 16.09.2021; 14:55; Do;5;; Oldenburg (Oldb); Rummelweg;0;0;0;2;0;;;;;;;5;7;799;49;;;;;71;21;2021;9;16; he; tr; RF; PKW; SO;;8,196225;53,140659
346; 17.09.2021; 13:00; Fr;5;; Oldenburg (Oldb); Antonstraﬂe;0;0;1;2;5;2;;;;;;3;7;799;49;;;;;71;71;2021;9;17; he; tr; RF; RF; SO; absteigend;8,194606;53,130374
347; 17.09.2021; 17:30; Fr;5;; Oldenburg (Oldb); Triftweg;0;1;0;2;5;1;;;;;;2;3;321;27;;;;;71;40;2021;9;17; he; tr; RF; LKW; EK; absteigend;8,234446;53,174232
348; 18.09.2021; 11:45; Sa;5;; Oldenburg (Oldb); Posthalterweg;0;0;1;2;5;6;;;;;;3;3;371;37;;;;;71;21;2021;9;18; he; tr; RF; PKW; EK; aufsteigend;8,170001;53,161539
349; 20.09.2021; 15:40; Mo;5;; Oldenburg (Oldb); Ammergaustraﬂe;0;0;1;2;5;1;;;;;8;3;2;211;35;;;;;71;21;2021;9;20; he; tr; RF; PKW; AB; aufsteigend;8,23137;53,161754
350; 20.09.2021; 15:42; Mo;5;; Oldenburg (Oldb); Moslestraﬂe;0;0;1;2;5;1;;9;;;8;3;2;243;34;;;;;33;71;2021;9;20; he; tr; BUS; RF; AB; absteigend;8,214657;53,143504
351; 21.09.2021; 15:50; Di;4;348; Oldenburg (Oldb); Ammerl‰nder Heerstraﬂe;0;0;1;2;5;1;;0;9;;8;3;2;243;34;;49;;;92;71;2021;9;21; he; tr; SOF; RF; AB; aufsteigend;8,167077;53,160652
352; 21.09.2021; 16:15; Di;5;; Oldenburg (Oldb); Haarenufer;0;0;1;2;5;;;;;;;3;2;202;35;;;;;71;72;2021;9;21; he; tr; RF; RF; AB;;8,205808;53,141126
